홈,어웨이,라운드,점유율,슈팅,유효슈팅,파울,경고,퇴장,코너킥,프리킥,오프사이드,평점,스코어
울산,김천,1,60.32:39.68,20:6,10:2,11:13,2:2,0:0,5:1,13:14,2:1,7.53:5.93,0:0
성남,울산,2,36.08:63.92,6:10,1:6,17:9,3:0,0:0,3:5,21:12,4:3,7.11:6.49,0:2
울산,수원,3,69.00:31.00,12:5,11:5,9:17,1:2,0:0,7:2,11:18,2:1,7.78:6.31,2:1
전북,울산,4,44.94:55.06,8:9,3:3,17:5,2:2,0:0,5:1,21:6,4:1,7.25:6.27,0:1
울산,서울,5,59.63:40.37,9:9,8:6,9:11,1:1,0:0,4:2,14:11,5:0,7.45:5.96,2:1
울산,포항,6,51.37:48.63,11:5,8:3,12:13,3:3,0:0,4:5,12:13,0:0,7.58:5.76,2:0
인천,울산,7,35.66:64.34,12:14,7:8,12:14,2:0,0:0,4:2,13:14,1:0,7.73:6.31,1:1
제주,울산,8,48.99:51.01,16:5,7:3,9:11,3:1,0:1,7:2,10:11,1:0,6.91:6.24,1:2
울산,대구,9,67.36:32.65,11:8,9:4,7:18,0:3,0:0,9:1,8:18,1:0,7.47:6.02,3:1
수원,울산,10,42.68:57.32,15:6,11:3,10:8,2:2,0:1,4:5,10:9,0:1,7.38:5.67,1:0
강원,울산,11,40.94:59.06,13:10,4:9,14:8,2:0,0:0,1:5,14:11,0:3,7.25:6.38,1:3
울산,인천,12,72.65:27.35,18:6,12:4,4:13,1:1,0:0,8:1,4:14,0:1,7.85:6.6,2:2
울산,제주,13,66.82:33.18,26:7,17:4,10:6,0:1,0:0,7:3,11:8,1:2,7.45:6.04,1:0
김천,울산,14,55.20:44.80,14:7,7:5,8:12,0:2,0:0,3:1,9:14,1:2,7.44:6.47,0:2
수원,울산,15,35.71:64.29,10:6,4:4,9:13,2:4,0:0,2:8,11:14,2:1,7.22:6.2,1:2
울산,전북,16,63.60:36.40,18:9,14:7,3:9,0:2,0:0,5:3,3:10,0:1,7.05:6.53,1:3
서울,울산,17,41.63:58.37,6:13,3:6,7:7,2:3,0:0,1:4,8:9,1:2,7.62:6.47,1:2
울산,성남,18,73.97:26.03,13:6,6:4,5:7,1:2,0:0,8:1,7:7,2:0,7.35:6.07,0:0
포항,울산,19,33.13:66.87,6:5,3:1,11:10,0:2,0:0,1:6,13:11,2:1,7.71:5.45,2:0
울산,강원,20,68.83:31.17,13:8,6:6,12:7,0:0,0:0,3:1,12:9,0:2,7.64:5.78,2:1
대구,울산,21,37.63:62.38,10:13,5:5,11:5,1:2,0:0,1:3,13:6,2:1,7.42:6.09,1:1
울산,수원,22,53.71:46.29,20:5,12:1,10:8,3:2,0:0,6:2,11:8,1:0,7.73:5.93,2:1
울산,강원,23,49.31:50.69,5:15,5:11,7:11,1:2,0:0,1:7,10:12,3:1,7.67:6.18,2:1
울산,서울,24,57.87:42.13,15:4,8:3,8:6,0:0,0:0,6:0,9:8,1:2,7.16:5.93,1:1
전북,울산,25,55.99:44.01,11:9,4:3,10:21,2:6,0:0,1:2,12:21,2:0,7.25:5.85,1:1
울산,대구,26,68.76:31.24,20:13,15:6,7:5,0:0,0:0,7:5,9:6,2:1,7.76:6.02,4:0
김천,울산,27,42.10:57.90,4:9,2:4,10:10,1:0,0:0,4:5,12:10,2:0,7.15:6.27,1:2
제주,울산,28,41.74:58.26,12:7,4:2,17:14,2:1,0:0,2:2,18:16,1:2,7.2:6.09,1:1
성남,울산,29,36.89:63.11,10:7,8:6,20:12,5:0,0:0,5:3,21:16,1:4,7.58:6.05,2:0
울산,수원,30,65.00:35.00,8:4,5:1,8:14,1:1,0:0,3:4,8:15,0:1,7.56:5.89,1:0
울산,포항,31,54.34:45.66,10:9,9:8,12:14,3:3,0:0,2:0,12:16,0:2,7.02:6.25,1:2
인천,울산,32,33.99:66.00,5:11,2:5,12:10,2:0,0:0,2:4,12:10,0:0,7.62:6.35,0:0
울산,수원,33,54.56:45.44,16:7,11:3,14:14,3:2,0:0,7:4,19:16,5:2,7.45:5.78,2:0
인천,울산,34,42.10:57.90,7:13,6:10,13:14,3:3,0:0,2:5,14:15,1:1,6.62:6.55,0:3
울산,전북,35,61.93:38.06,23:8,18:4,10:16,3:2,0:1,12:4,11:18,1:2,7.71:6.16,2:1
포항,울산,36,63.38:36.62,9:4,5:2,4:7,1:4,0:0,10:2,6:7,2:0,7.25:6.05,1:1
강원,울산,37,37.50:62.50,5:13,3:9,10:9,0:0,0:0,1:7,14:10,4:1,7.49:6.33,1:2
울산,제주,38,54.88:45.12,9:17,6:6,5:6,1:1,0:0,4:6,7:8,2:2,7.24:6.25,1:2
